RespondentID,Engage,Develop,Teamwork & Trust,Sustainable Engagement
996,12,6,5,8
997,10,6,5,11
998,30,18,13,22
999,15,7,8,9
1000,16,8,7,14
1001,18,11,8,14
1002,27,15,10,17
1003,15,8,7,10
1004,11,6,5,8
1005,12,7,5,8
1006,36,21,17,14
1007,11,5,9,14
1008,16,9,7,8
1009,17,11,6,10
1010,24,20,12,23
1011,31,15,11,16
1012,26,13,12,16
1013,20,10,6,15
1014,18,9,9,10
1015,16,23,14,22
1016,11,9,5,8
1017,14,2,12,6
1018,12,7,5,8
1019,21,17,11,15
1020,26,18,12,16
1021,10,6,5,8
1022,10,6,5,9
1023,10,6,5,8
1024,13,7,11,10
1025,25,9,6,15
1026,24,11,8,14
1027,13,9,7,10
1028,23,16,11,19
1029,30,16,13,20
1030,13,9,5,8
1031,12,11,5,10
1032,23,14,9,15
1033,13,8,7,7
1034,29,19,8,11
1035,16,8,5,8
1036,11,5,4,11
1037,19,9,7,14
1038,23,11,7,14
1039,35,22,19,23
1040,13,8,4,10
1041,13,10,10,10
1042,30,16,9,13
1043,18,10,10,15
1044,28,19,12,15
1045,37,27,14,23
1046,20,15,10,12
1047,21,18,7,16
1048,25,20,7,17
1049,20,10,8,15
1050,24,16,13,17
1051,34,19,13,24
1052,18,12,9,20
1053,14,8,5,8
1054,19,11,8,10
1055,10,7,9,9
1056,23,11,13,12
1057,27,17,10,16
1058,19,13,7,15
1059,23,12,8,12
1060,18,8,7,10
1061,19,10,7,10
1062,25,16,15,18
1063,31,17,16,21
1064,12,6,6,11
1065,19,10,7,14
1066,10,6,5,10
1067,10,6,5,8
1068,25,20,16,21
1069,36,15,10,19
1070,15,8,6,8
1071,21,12,10,16
1072,12,6,5,8
1073,28,18,13,19
1074,14,8,6,12
1075,12,7,5,11
1076,14,7,9,18
1077,33,17,12,21
1078,17,10,8,11
1079,23,15,17,22
1080,21,11,5,14
1081,15,7,6,14
1082,24,14,10,16
1083,10,6,5,9
1084,26,16,13,10
1085,25,17,11,18
1086,25,17,11,17
1087,18,16,7,15
1088,17,4,6,13
1089,14,9,6,12
1090,36,21,15,29
1091,19,11,8,14
1092,21,9,8,16
1093,16,8,7,13
1094,32,16,13,17
1095,25,18,5,14
1096,13,12,8,16
1097,10,6,5,8
